City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint-Philippe,RE,-21.3585,55.7679,66.22,80,31,11.12,scattered clouds
1,Katobu,ID,-4.9408,122.5276,71.38,92,100,2.59,overcast clouds
2,Canchungo,GW,12.0672,-16.0333,78.93,86,100,5.37,light rain
3,Studenka,CZ,49.7234,18.0785,72.99,66,0,5.01,clear sky
4,Puerto Ayora,EC,-0.7393,-90.3518,76.96,80,47,8.01,scattered clouds
5,Jiazi,CN,22.8779,116.067,80.06,86,100,9.31,moderate rain
6,Avarua,CK,-21.2078,-159.775,77.05,73,40,18.41,scattered clouds
7,Vanimo,PG,-2.6741,141.3028,76.32,88,100,3.91,overcast clouds
8,San-Pedro,CI,4.7485,-6.6363,74.28,77,87,7.14,overcast clouds
9,Camapua,BR,-19.5314,-54.0439,91.76,18,48,8.75,scattered clouds
10,Kruisfontein,ZA,-34.0033,24.7314,52.36,91,57,4.0,broken clouds
11,Rikitea,PF,-23.1203,-134.9692,71.06,71,97,19.28,overcast clouds
12,Carnarvon,AU,-24.8667,113.6333,60.69,57,58,15.17,broken clouds
13,Port Alfred,ZA,-33.5906,26.891,60.66,79,48,5.12,scattered clouds
14,Berlevag,NO,70.8578,29.0864,62.6,82,40,9.22,scattered clouds
15,Neyshabur,IR,36.2133,58.7958,77.54,21,2,2.46,clear sky
16,Shuangcheng,CN,45.35,126.2833,76.68,96,100,17.76,overcast clouds
17,Plymouth,US,41.8334,-70.8328,94.95,59,0,16.11,clear sky
18,Albany,US,42.6001,-73.9662,102.16,50,32,8.61,scattered clouds
19,Codrington,AU,-38.2667,141.9667,48.06,90,94,11.81,overcast clouds
20,Ushuaia,AR,-54.8,-68.3,42.46,65,75,3.44,broken clouds
21,Harper,LR,4.375,-7.7169,74.64,78,100,6.87,overcast clouds
22,Augusto Correa,BR,-1.0217,-46.635,80.4,81,81,5.7,broken clouds
23,Breves,BR,-1.6822,-50.4803,85.41,61,70,2.71,broken clouds
24,Vaini,TO,-21.2,-175.2,77.16,83,75,6.91,broken clouds
25,Kang,BW,-23.6752,22.7876,56.91,39,0,7.58,clear sky
26,Emerald,AU,-23.5333,148.1667,57.34,100,0,0.0,clear sky
27,Sao Filipe,CV,14.8961,-24.4956,77.25,83,84,8.57,broken clouds
28,Upernavik,GL,72.7868,-56.1549,44.17,71,100,7.94,overcast clouds
29,Sao Felix Do Xingu,BR,-6.6447,-51.995,96.94,24,28,2.01,scattered clouds
