City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Caravelas,BR,2022-07-31 17:30:38,-17.7125,-39.2481,72.68,88,62,10.16
1,New Norfolk,AU,2022-07-31 17:30:39,-42.7826,147.0587,49.5,77,96,1.01
2,Okha,RU,2022-07-31 17:30:39,53.5739,142.9478,53.24,90,37,12.37
3,Saldanha,ZA,2022-07-31 17:30:39,-33.0117,17.9442,50.05,69,1,19.86
4,Punta Arenas,CL,2022-07-31 17:30:40,-53.15,-70.9167,44.71,70,75,11.5
5,Kandrian,PG,2022-07-31 17:30:40,-6.2167,149.55,77.77,88,93,7.09
6,Tuktoyaktuk,CA,2022-07-31 17:30:41,69.4541,-133.0374,51.8,76,75,5.75
7,Yellowknife,CA,2022-07-31 17:27:32,62.456,-114.3525,61.32,48,20,5.75
8,Cabo San Lucas,MX,2022-07-31 17:30:36,22.8909,-109.9124,93.61,60,0,3.44
9,Tuatapere,NZ,2022-07-31 17:30:41,-46.1333,167.6833,36.05,89,20,6.51
10,Guerrero Negro,MX,2022-07-31 17:30:42,27.9769,-114.0611,82.72,46,10,7.85
11,Ponta Do Sol,PT,2022-07-31 17:30:42,32.6667,-17.1,82.0,69,0,2.15
12,Katsuura,JP,2022-07-31 17:30:42,35.1333,140.3,79.81,91,88,11.99
13,Am Timan,TD,2022-07-31 17:30:43,11.0297,20.2827,75.04,86,100,5.5
14,Masvingo,ZW,2022-07-31 17:30:43,-20.0637,30.8277,62.47,21,4,6.6
15,Bethel,US,2022-07-31 17:30:43,41.3712,-73.414,86.04,53,0,5.75
16,Sao Felix Do Xingu,BR,2022-07-31 17:30:44,-6.6447,-51.995,90.36,41,50,2.64
17,Shache,CN,2022-07-31 17:30:44,38.4167,77.2406,77.81,32,83,28.23
18,Vaini,TO,2022-07-31 17:30:44,-21.2,-175.2,75.36,100,75,4.61
19,Cape Town,ZA,2022-07-31 17:27:46,-33.9258,18.4232,54.27,70,0,13.8
20,Hobart,AU,2022-07-31 17:30:45,-42.8794,147.3294,49.86,78,92,8.05
21,Nome,US,2022-07-31 17:26:39,64.5011,-165.4064,53.67,72,0,0.0
22,Rikitea,PF,2022-07-31 17:27:38,-23.1203,-134.9692,71.87,74,100,17.74
23,Lucapa,AO,2022-07-31 17:30:46,-8.4192,20.7447,76.71,23,0,1.7
